AbbreviatedRangeDimension	extract_abbreviated_range_dimension
AbortAssertExpression	extract_abort_assert_expr
AbsoluteToleranceValueRange	extract_absolute_tolerance_value_range
AcceptConditionExpression	extract_accept_condition_expression
AcceptStatement	extract_accept_statement
AddExpr	extract_add_expr_stmt
AliasStatement	extract_alias_statement
AlwaysCombProceduralBlock	extract_always_comb_procedural_block
AlwaysFFProceduralBlock	extract_always_ff_procedural_block
AlwaysLatchProceduralBlock	extract_always_latch_procedural_block
AlwaysProceduralBlock	extract_always_procedural_block
ArbitrarySymbol	extract_arbitrary_symbol
ArithmeticLeftShiftExpr	extract_arithmetic_left_shift_expr
ArithmeticRightShiftExpr	extract_arithmetic_right_shift_expr
ArrayAndMethodExpr	extract_array_and_method_expr
ArrayAndMethodExpr	extract_array_and_method_expr_stmt
ArrayMethodExpr	extract_array_method_expr
ArrayOrMethodExpr	extract_array_or_method_expr
ArrayOrMethodExpr	extract_array_or_method_expr_stmt
ArrayOrRandomizeMethodExpr	extract_array_or_randomize_method_expr
ArrayUniqueMethodExpr	extract_array_unique_method_expr
ArrayUniqueMethodExpr	extract_array_unique_method_expr_stmt
ArrayXorMethodExpr	extract_array_xor_method_expr
ArrayXorMethodExpr	extract_array_xor_method_expr_stmt
AscendingRangeSelectExpr	extract_ascending_range_select_expr
AssertExpression	extract_assert_expression
AssertPropertyExpression	extract_assert_property_expression
AssertStatement	extract_assert_statement_stmt
AssertionInstance	extract_assertion_instance
AssertionStatementExpression	extract_assertion_statement_expression
AssignmentOperatorExpr	extract_assignment_operator_expr
AssociativeArrayExpression	extract_associative_array_expression
AssociativeArrayLiteral	extract_associative_array_literal
AssociativeDimension	extract_associative_dimension
AssumeExpression	extract_assume_expression
AssumePropertyExpression	extract_assume_property
AssumePropertyExpression	extract_assume_property_expression
AssumeStatement	extract_assume_statement_stmt
AsyncAcceptSequenceExpr	extract_async_accept_sequence_expr
AsyncRejectSequenceExpr	extract_async_reject_sequence_expr
AsyncRejectWeakSequenceExpr	extract_async_reject_weak_sequence_expr
BeginStatementExpression	extract_begin_stmt_expression
BinaryAndExpr	extract_binary_and_expr
BinaryAssertExpression	extract_binary_assert_expression
BinaryBlockEventExpr	extract_binary_block_event_expr
BinaryExpression	extract_binary_expression
BinaryNandExpr	extract_binary_nand_expr
BinaryNorExpr	extract_binary_nor_expr
BinaryOp	handle_binary_op
BinaryOperator	extract_binary_operator
BinaryOrExpr	extract_binary_or_expr
BinaryPropertyExpr	extract_binary_property_expr
BinaryXnorExpr	extract_binary_xnor_expr_stmt
BinaryXorExpr	extract_binary_xor_expr
BitSelectExpr	extract_bit_select_expr
BitStreamCastExpr	extract_bit_stream_cast_expr
BitVectorExpr	extract_bit_vector_expr
BitVectorType	extract_bit_vector_type
BitstreamCastConversion	extract_bitstream_cast_conversion
BlockCommentTrivia	extract_block_comment_trivia
BlockEventListTimingControl	extract_block_event_list_timing_control
BlockStatement	extract_block_statement
BlockingAssignmentStatement	extract_blocking_assignment_stmt
BlockingAssignmentStatement	extract_blocking_assignment_stmt_stmt
BothEdges	extract_both_edges
BreakStatement	extract_break_statement
BreakStatementExpression	extract_break_stmt_expression
CallExpression	extract_call
CallableExpression	extract_callable_expression
CaseAssertExpression	extract_case_assert_expr
CaseEqualityExpr	extract_case_equality_expr
CaseExpression	extract_case_expression
CaseInequalityExpr	extract_case_inequality_expr
CaseItemExpression	extract_case_item_expression
CaseItemStatementExpression	extract_case_item_stmt_expression
CaseSequenceExpr	extract_case_sequence_expr
CaseStatementExpression	extract_case_stmt_expression
CastExpr	extract_cast_expr_stmt
CastToBitBaseExpr	extract_cast_to_bit_base_expr
CastToBitExpr	extract_cast_to_bit_expr
CastToByteExpr	extract_cast_to_byte_expr
CastToIntExpr	extract_cast_to_int_expr
CastToLongIntExpr	extract_cast_to_long_int_expr
CastToRealExpr	extract_cast_to_real_expr
CastToShortIntExpr	extract_cast_to_short_int_expr
CheckerInstantiationStatement	extract_checker_instantiation_statement
ClassScopeExpr	extract_class_scope_expr
ClockingAssertExpression	extract_clocking_assert_expr
ClockingBlock	extract_clocking_block
ClockingBlockEvent	extract_clocking_block_event
ClockingBlockEventExpr	extract_clocking_block_event_expr
ClockingBlockEventExpr	extract_clocking_block_event_expr_stmt
ClockingBlockExpr	extract_clocking_block_expr
ClockingBlockExpr	extract_clocking_block_expr_stmt
ClockingBlockPropertyExpr	extract_clocking_block_property_expr
ClockingBlockPropertyExpr	extract_clocking_block_property_expr_stmt
ClockingBlockSequenceExpr	extract_clocking_block_sequence_expr
ClockingBlockSequenceExpr	extract_clocking_block_sequence_expr_stmt
ClockingDrive	extract_clocking_drive
ClockingEvent	extract_clock_event
CompoundStatementExpression	extract_compound_stmt_expression
ConcatenationExpr	extract_concatenation_expr
ConcurrentAssertStatement	extract_concurrent_assert_statement
ConcurrentAssertionStatement	extract_concurrent_assertion
ConditionBinsSelectExpr	extract_condition_bins_select_expr
ConditionalAssertExpression	extract_conditional_assert_expr
ConditionalDirectiveExpression	extract_conditional_directive_expression
ConditionalExpr	extract_conditional_expr
ConditionalOp	extract_conditional_op
ConstantCastExpr	extract_constant_cast_expr
ConstantExpression	extract_constant_expression
ConstantPattern	extract_constant_pattern
ConstantPatternExpr	extract_constant_pattern_expr
ConstraintConditional	extract_constraint_conditional
ConstraintDisableSoft	extract_constraint_disable_soft
ConstraintExpression	extract_constraint_expression
ConstraintExpression	extract_constraint_expression
ConstraintForeach	extract_constraint_foreach
ConstraintImplication	extract_constraint_implication
ConstraintList	extract_constraint_list
ConstraintListExpr	extract_constraint_list_expr
ConstraintSolveBefore	extract_constraint_solve_before
ConstraintUniqueness	extract_constraint_uniqueness
ContinueStatement	extract_continue_statement
ContinueStatementExpression	extract_continue_stmt_expression
CoverCrossExpr	extract_cover_cross_expr
CoverCrossItemExpr	extract_cover_cross_item_expr
CoverPropertyExpression	extract_cover_property
CoverPropertyExpression	extract_cover_property_expr
CoverPropertyExpression	extract_cover_property_expression
CoverSequenceExpression	extract_cover_sequence
CoverSequenceExpression	extract_cover_sequence_expr
CoverStatement	extract_cover_statement_stmt
CoverageStatementExpression	extract_coverage_stmt_expression
CoverpointBinExpr	extract_coverpoint_bin_expr
CoverpointExpr	extract_coverpoint_expr
CoverpointValueBinExpr	extract_coverpoint_value_bin_expr
CoverpointWildcardBinExpr	extract_coverpoint_wildcard_bin_expr
CrossIdBinsSelectExpr	extract_cross_id_bins_select_expr
CycleDelayControl	extract_cycle_delay_control
CycleDelayControlStatement	extract_cycle_delay_control_statement
